1;2;60;1;
2;3;60;1;
3;4;120;1;
4;5;60;1;
5;6;60;1;
6;7;120;1;
7;8;60;1;
8;9;60;1;
9;10;120;1;
10;11;60;1;
11;12;60;1;
12;13;120;1;
13;14;60;1;
14;15;60;1;
15;16;120;1;
16;17;60;1;
17;18;60;1;
18;19;120;1;
19;20;60;1;
20;21;60;1;
21;22;120;1;
22;23;60;1;
23;24;60;1;
24;25;120;1;
25;1;180;1;
1;6;60;1;
6;9;120;1;
9;10;60;1;
10;11;120;1;
11;1;180;1;
6;21;60;1;
21;12;60;1;
12;13;60;1;
13;14;60;1;
14;15;60;1;
15;22;120;1;
22;23;60;1;
23;24;60;1;
24;25;60;1;
18;21;120;1;
18;12;120;1;
18;14;180;1;
21;6;60;1;
12;6;60;1;
10;9;60;1;
11;10;120;1;
25;24;60;1;
7;8;60;2;
8;7;60;2;
21;12;60;2;
12;21;60;2;
22;23;60;2;
23;22;60;2;
24;25;60;2;
25;24;60;2;
15;14;60;2;
14;15;60;2;
2;6;120;1;
3;6;120;1;
5;21;120;1;
17;21;120;1;
